Date;Id;Type;Text;Tags
2023-05-25 20:10:19.833242;1661796570164088832;replied_to;@Febrazink "mit großem Tempo" 😂😭;
2023-05-25 20:10:21.833636;1661796570352738306;quoted;Of all the countries I have been to in Africa, it was only in Ethiopia that I was asked by an Attendant if a tip should be added to my bill. 
My mouth was so fast to say NO. https://t.co/rIIedvCpXe;
2023-05-25 20:10:23.834279;1661796570226999296;retweeted;RT @K_Ibarguen: Resultó bien taimada Francia Márquez, a toda pregunta relacionada con los suntuosos gastos a los cuales se mal acostumbró r…;
2023-05-25 20:10:25.835448;1661796568704376834;replied_to;@BolsonaroSP O sujo falando do mal lavado 👎👎👎👎;
2023-05-25 20:10:27.836454;1661796570344423425;retweeted;RT @BosqueUrbanoMA: A día de hoy, seis candidaturas a la alcaldía de #Málaga han firmado y sellado una carta de apoyo explícito para crear…;
2023-05-25 20:10:29.837252;1661796572860915713;replied_to;@Margaritas131 Jajaja es muy rico , a mí me hace mal la cebolla así que no puedo comer por eso , pero antes si comía y es un manjar;
2023-05-25 20:10:31.838034;1661796571552382992;replied_to;@Mirx4_ Mais je suis Sah wsh snap ca beug;
2023-05-25 20:10:33.838748;1661796573725032457;replied_to;@CCNBandicoot Oui je me doute bien et ça doit pas être facile facile, je me rabat sur une femme qui joue à crash bandicoot racing je crois et c âme passe le temps MDR en attendant le goat;
2023-05-25 20:10:35.839208;1661796571539800071;replied_to;@Freiheitsliebe7 Aber zum Glück daheim, sonst hätte ich ans Hertha Spiel denken müssen.;
2023-05-25 20:10:37.840149;1661796572982648839;retweeted;RT @LuchiHj: como quisiera tener la facilidad de q me chupe un huevo como de ponerme mal por pelotudeces;
2023-05-25 20:10:39.840426;1661796572911353857;replied_to;@byycecee Feur 77;
2023-05-25 20:10:41.841220;1661796573687283715;replied_to;@wandernund @Neue_Flamme Ja, das kenne ich. Da gab es auch schon so einige Sachen und die Menschen haben das nicht so richtig wahrgenommen. Man sagt, sowas sei heute nicht mehr möglich, aber dann kommt es in anderen Ausprägungen durch.;
2023-05-25 20:10:43.841730;1661796570071793666;retweeted;RT @Igor_from_Kyiv_: Servicemen of Great Britain, Canada, USA,Spain, Sweden, Poland, Latvia  and other allied countries are seeing off our…;
2023-05-25 20:10:45.842083;1661796573473325056;retweeted;RT @sergiorgari: El denominador común de las compras del PSOE, desde elecciones a pvtas, pasando por drogas y mercenarios, es que lo pagamo…;
2023-05-25 20:10:47.842838;1661796570751270914;replied_to;Sans parler du constat des #violencespolicières qui peuvent être subies en GAV: ça paraît quand même moins évident de le faire en visio. 
Il faut espérer que @Senat et @AssembleeNat voteront au moins les amendements pour que le gardé à vue puisse donner son avis 👇 #PJLJustice https://t.co/nIy5Wr2LSX;
2023-05-25 20:10:49.843326;1661796572600979457;replied_to;@GraveSc92251417 MAL MELAMETİ ÖRTER. KAVGADA KILIÇ ÖDÜNÇ VERİLMEZ.;
2023-05-25 20:10:51.844311;1661796571124494336;replied_to;@matt_10969 @rapoutcontext Envelheceu tão mal que a nova geração tá gostando pra porra de conhecer ele através do tiktok kkk botou uma música de 2004 como a música mais tocada de rap em 2023;
2023-05-25 20:10:53.844692;1661796572445671424;replied_to;@JMilei Está noticia me devuelve la fe después del dipy;
2023-05-25 20:10:55.845498;1661796571825012755;Empty;sim amiga, quero ser igual a ti (marmita, burra, talarica, mal falada, pick me girl, mal educada e com cabelo de palha);
2023-05-25 20:10:57.846422;1661796567832047616;replied_to;@GeorgDrumpf Das schlimme ist doch, dass die
Psycho-Tante vermutlich auch noch glaubt, dass sie die beste Mutter des Jahrtausends und eine wunderbare Pädagogin ist. Da fehlt mir die Toleranz und das kommt von Herzen.;
2023-05-25 20:10:59.847106;1661796574576476171;retweeted;RT @CapitanBitcoin: En las últimas elecciones ya hubo ciudadanos denunciando pucherazo del PSOE. Aquí un ejemplo en Huelva (donde para este…;
2023-05-25 20:11:01.848005;1661796570537361408;retweeted;RT @stats_feed: How much you should tip restaurant staff:

🇺🇸 USA: 20%
🇨🇦 Canada: 15-20%
🇳🇴 Norway: 10-20%
🇲🇽 Mexico: 15%
🇦🇷 Argentina: 10-…;
2023-05-25 20:11:03.848596;1661796573016195076;Empty;eu e os meninos falando mal de todas as artistas possíveis aqui no quarto do thiago https://t.co/s7nKzdNvMA;
2023-05-25 20:11:05.849430;1661796571451740161;Empty;JAJAJAJA el niñito solo finge, pobre de mi de lo que habla? O pobre de él por tener que hablar mal de mi para hacerse el hombre que nunca ha sido?;
2023-05-25 20:11:07.850536;1661796571678212111;retweeted;RT @MximaReina1: @tuiteropina Debo andar mal de la memoria, creí q un día dijo q se retiraba de la política. Me confirman?;
2023-05-25 20:11:09.851223;1661796574710603777;retweeted;RT @TasteAtlas: Happy 25th of May, Argentina!  🇦🇷

Discover Argentina: https://t.co/4i94O4ERP8

On the 25th of May, Argentina celebrates th…;
2023-05-25 20:11:11.851795;1661796575796944896;retweeted;RT @anitamcatalano: noche de tacos no vendría mal;
2023-05-25 20:11:13.852217;1661796577436991511;retweeted;RT @FranHervias: Me envían esta foto del ayuntamiento de Calahorra (La Rioja), gobernado por el PSOE, trabajando una empresa de destrucción…;
2023-05-25 20:11:15.852861;1661796577529282560;retweeted;RT @wwehateyous: je porte une abaya large de voilée on dirais g mis la burka frere que ça me guette mal;
2023-05-25 20:11:17.853338;1661796575025266691;retweeted;RT @ArturYanet: Esperamos que no queden mal esperando 3 machos lechosos 🍆
Esperen los vídeos 

((Si es que llegan ya demoraron 30m )) 😂😂😂…;
2023-05-25 20:11:19.853938;1661796576409387014;replied_to;@shineddolan C’est pas mal pour les caméras vos trophée (sur vote des fans) mais si tu veux 200k par semaine va falloir peser dans le jeu ewi le monde est méchant va voir à ManU si y’a d’la place;
2023-05-25 20:11:21.854622;1661796576141131776;replied_to;@pauisliving No estaría mal;
2023-05-25 20:11:23.855254;1661796576056995843;retweeted;RT @marco_tima: Ou bouje sanksyon 
Ou pale mal sanksyon 

Nou konnen kiyes sa https://t.co/FZqEc5gKrc;
2023-05-25 20:11:25.855934;1661796575897698305;Empty;Todavía hay gente cuestionando si está bien o mal lo q ha hecho el pavo ese con las fotos de la rosalia… de vdd q miedo de sociedad;
2023-05-25 20:11:27.856451;1661796575482445824;replied_to;@marcalpalazzolo @ralmironok @mauriciomacri Después hay que escuchar que son todos iguales.Eso lo impuso el llamado "periodismo independiente" porque garpa decir eso.Son verdaderos mercenarios,desde los más viejos hasta los imberbes que están empezando.Además son ignorantes,hablan mal, desinformados pero tienen micrófono.;
2023-05-25 20:11:29.857102;1661796576006733848;retweeted;RT @Sasha56525484: No puedo creer el mal humor que me genera esta humedad del ojeteeee;
2023-05-25 20:11:31.857874;1661796574475812865;quoted;Definitivamente un requisito para ser army es estar muy mal de la cabeza y que te falten las neuronas... https://t.co/I72tGXRlzA;
2023-05-25 20:11:33.858632;1661796576858177647;replied_to;AJHDJAJSJJSJS DIOS LO ESCRIBI RE MAL NO ME DA VERGÜENZA LO AMO;
2023-05-25 20:11:35.859127;1661796579261513737;replied_to;@MadaanMansij @momsnextdoorx J aime bien c est pas mal je trouve;
2023-05-25 20:11:37.859597;1661796580515610634;replied_to;@jvegavara Y encima le vociferan oles sin hacer nada. Me huele a Puerta Grande regalada. Ojalá que no .;
2023-05-25 20:11:39.860084;1661796579345399813;Empty;Todo tiene un comienzo y un final y eso no significa que por que tengas un comienzo mal no significa que tu final será igual.;
2023-05-25 20:11:41.860534;1661796581144756240;quoted;Deshalb sei die Klimadebatte derzeit auch so aufgeregt, weil sie an einer »kritischen Stelle« angekommen ist, sagt Klimaforscherin Knopf. https://t.co/qaK8g34mBS https://t.co/6SF0WVku00;
2023-05-25 20:11:43.861326;1661796578783363079;Empty;que vergonha de sair da sala depois de apenas 1h de aula 🤡 menos mal que eu avisei o prof que eu ia ter que sair antes mas mesmo assimmm;
2023-05-25 20:11:45.861868;1661796582738612225;quoted;eu acho que ser transexual não tem nada de mal = far left aparentemente https://t.co/Voco12YZSN;
2023-05-25 20:11:47.862555;1661796579655778316;replied_to;@DaRkInGG_YT Viens DM bg;
2023-05-25 20:11:49.863418;1661796580465278987;replied_to;@xWolfBloomx @rebecsdead chocada, sempre fiz assim sem saber. tava até pensando em aumentar, mas q preguiça..;
2023-05-25 20:11:51.863832;1661796579563503634;retweeted;RT @VPG_Spain: 📺RESULTADOS @latidoshop PRIMERA DIVISIÓN B

⭐️ Jornada 29

📰 Manita de @GoldRevolution3 

📰 @DesarrapaoseSp cae derrotado y…;
2023-05-25 20:11:53.864704;1661796579710304268;replied_to;@todorpgpodcast Por lo que veo, te recomiendo que subas los videos entre las 20h o 21h que son horas puntas, ya que a las 14h de la tarde, no hay apenas usuarios, youtube tiene mucho en cuenta las 3 primeras horas de la publicación, para recomendarlo.;
