Date;Id;Type;Text;Tags
2023-05-27 19:13:41.865865;1662507359489458176;retweeted;RT @aritj1m3: — Difundan los Horarios y Metas para el lanzamiento del MV de "DON'T EVER SAY LOVE ME" ‼️📆 Lunes || 29 de mayo 06:00 AM 🇨🇷…;
2023-05-27 19:13:43.866277;1662507360106041344;replied_to;@keen_gu @GeekNfit Ça peut être pas mal apparemment vu que tu veux prendre du poids;
2023-05-27 19:13:45.866703;1662507360240246789;retweeted;RT @ComunidadMadrid: 🗳️ La APP móvil del #28M ofrecerá, en tiempo real, los datos de constitución de mesas, avances de participación, resul…;
